student_id,event_timestamp,created_timestamp,programming,databases,problem_solving,communication,cloud_computing,teamwork,aptitude
S065,2026-01-01 00:01:05+00:00,2026-01-01 00:01:06+00:00,92,69,71,50,55,50,58
S066,2026-01-01 00:01:06+00:00,2026-01-01 00:01:07+00:00,43,35,83,37,66,47,46
S067,2026-01-01 00:01:07+00:00,2026-01-01 00:01:08+00:00,60,69,90,54,57,84,84
S068,2026-01-01 00:01:08+00:00,2026-01-01 00:01:09+00:00,87,71,51,58,67,94,69
S069,2026-01-01 00:01:09+00:00,2026-01-01 00:01:10+00:00,36,81,93,88,37,76,94
S070,2026-01-01 00:01:10+00:00,2026-01-01 00:01:11+00:00,54,48,83,90,52,64,67
S071,2026-01-01 00:01:11+00:00,2026-01-01 00:01:12+00:00,62,37,36,67,59,53,67
S072,2026-01-01 00:01:12+00:00,2026-01-01 00:01:13+00:00,81,35,36,58,76,51,95
S073,2026-01-01 00:01:13+00:00,2026-01-01 00:01:14+00:00,94,39,62,86,65,90,85
S074,2026-01-01 00:01:14+00:00,2026-01-01 00:01:15+00:00,41,60,88,45,88,53,77
S075,2026-01-01 00:01:15+00:00,2026-01-01 00:01:16+00:00,78,89,57,83,92,62,71
S076,2026-01-01 00:01:16+00:00,2026-01-01 00:01:17+00:00,95,48,71,42,37,92,46
S077,2026-01-01 00:01:17+00:00,2026-01-01 00:01:18+00:00,42,73,66,70,74,89,37
S078,2026-01-01 00:01:18+00:00,2026-01-01 00:01:19+00:00,81,61,67,72,80,60,35
S079,2026-01-01 00:01:19+00:00,2026-01-01 00:01:20+00:00,69,43,35,74,58,71,67
S080,2026-01-01 00:01:20+00:00,2026-01-01 00:01:21+00:00,48,49,53,54,84,60,74
S081,2026-01-01 00:01:21+00:00,2026-01-01 00:01:22+00:00,51,49,36,69,66,87,44
S082,2026-01-01 00:01:22+00:00,2026-01-01 00:01:23+00:00,70,60,87,82,81,57,77
S083,2026-01-01 00:01:23+00:00,2026-01-01 00:01:24+00:00,84,76,78,59,56,43,78
S084,2026-01-01 00:01:24+00:00,2026-01-01 00:01:25+00:00,74,94,60,69,57,46,63
S085,2026-01-01 00:01:25+00:00,2026-01-01 00:01:26+00:00,38,47,66,59,36,87,47
S086,2026-01-01 00:01:26+00:00,2026-01-01 00:01:27+00:00,36,85,40,63,61,35,46
S087,2026-01-01 00:01:27+00:00,2026-01-01 00:01:28+00:00,40,66,66,52,76,92,65
S088,2026-01-01 00:01:28+00:00,2026-01-01 00:01:29+00:00,88,73,89,80,36,92,80
S089,2026-01-01 00:01:29+00:00,2026-01-01 00:01:30+00:00,76,83,38,52,60,35,36
S090,2026-01-01 00:01:30+00:00,2026-01-01 00:01:31+00:00,38,86,89,36,51,81,95
S091,2026-01-01 00:01:31+00:00,2026-01-01 00:01:32+00:00,88,95,45,88,74,68,85
S092,2026-01-01 00:01:32+00:00,2026-01-01 00:01:33+00:00,63,66,90,69,67,66,84
S093,2026-01-01 00:01:33+00:00,2026-01-01 00:01:34+00:00,52,38,93,50,43,88,69
S094,2026-01-01 00:01:34+00:00,2026-01-01 00:01:35+00:00,60,64,51,95,77,82,57
S095,2026-01-01 00:01:35+00:00,2026-01-01 00:01:36+00:00,78,71,72,75,88,59,51
S096,2026-01-01 00:01:36+00:00,2026-01-01 00:01:37+00:00,68,57,58,70,82,74,60
S097,2026-01-01 00:01:37+00:00,2026-01-01 00:01:38+00:00,44,73,39,67,73,79,42
S098,2026-01-01 00:01:38+00:00,2026-01-01 00:01:39+00:00,70,79,86,38,63,87,63
S099,2026-01-01 00:01:39+00:00,2026-01-01 00:01:40+00:00,48,49,68,67,76,35,60
S100,2026-01-01 00:01:40+00:00,2026-01-01 00:01:41+00:00,65,77,40,48,89,50,44
